time,open,high,low,close,tick_volume,spread,real_volume
2025-03-10 23:12:00,1.08409,1.08414,1.08402,1.08408,27,0,0
2025-03-10 23:13:00,1.08407,1.0843,1.08407,1.08427,26,0,0
2025-03-10 23:14:00,1.08427,1.08427,1.08421,1.08423,19,0,0
2025-03-10 23:15:00,1.08423,1.08427,1.08419,1.08421,17,0,0
2025-03-10 23:16:00,1.08421,1.08424,1.08406,1.08414,31,0,0
2025-03-10 23:17:00,1.08414,1.08419,1.08413,1.08413,24,0,0
2025-03-10 23:18:00,1.08414,1.08422,1.08395,1.08395,27,0,0
2025-03-10 23:19:00,1.08393,1.08397,1.0838700000000001,1.08388,19,0,0
2025-03-10 23:20:00,1.0838700000000001,1.08405,1.0838700000000001,1.08403,28,0,0
2025-03-10 23:21:00,1.08403,1.08403,1.08399,1.08401,18,0,0
2025-03-10 23:22:00,1.08404,1.08416,1.08404,1.08413,25,0,0
2025-03-10 23:23:00,1.08414,1.08426,1.0841,1.08426,24,0,0
2025-03-10 23:24:00,1.08427,1.08429,1.08426,1.08429,13,0,0
2025-03-10 23:25:00,1.08429,1.0843,1.0842,1.08424,34,0,0
2025-03-10 23:26:00,1.08424,1.08427,1.08418,1.08418,16,0,0
2025-03-10 23:27:00,1.08419,1.08423,1.08417,1.0842,15,0,0
2025-03-10 23:28:00,1.0842,1.08423,1.0842,1.08423,8,0,0
2025-03-10 23:29:00,1.08423,1.08425,1.08419,1.08424,9,0,0
2025-03-10 23:30:00,1.08424,1.08426,1.08422,1.08422,17,0,0
2025-03-10 23:31:00,1.08423,1.0843,1.08423,1.08424,15,0,0
2025-03-10 23:32:00,1.08424,1.08429,1.08422,1.08424,18,0,0
2025-03-10 23:33:00,1.08424,1.08424,1.08417,1.08418,15,0,0
2025-03-10 23:34:00,1.08418,1.08424,1.08418,1.08421,20,0,0
2025-03-10 23:35:00,1.08421,1.08425,1.08419,1.08423,8,0,0
2025-03-10 23:36:00,1.08423,1.08432,1.08423,1.08429,23,0,0
2025-03-10 23:37:00,1.08429,1.08429,1.08427,1.08428,13,0,0
2025-03-10 23:38:00,1.08428,1.08433,1.0842,1.08421,23,0,0
2025-03-10 23:39:00,1.08421,1.08426,1.08413,1.08414,27,0,0
2025-03-10 23:40:00,1.08414,1.08416,1.084,1.084,14,0,0
2025-03-10 23:41:00,1.08399,1.08411,1.08398,1.08409,18,0,0
2025-03-10 23:42:00,1.08412,1.08422,1.0841,1.08415,24,0,0
2025-03-10 23:43:00,1.08415,1.08415,1.08395,1.08404,31,0,0
2025-03-10 23:44:00,1.08405,1.08417,1.08404,1.08417,15,0,0
2025-03-10 23:45:00,1.08417,1.08425,1.08417,1.08422,23,0,0
2025-03-10 23:46:00,1.08422,1.08425,1.08412,1.08412,24,0,0
2025-03-10 23:47:00,1.08412,1.08416,1.08412,1.08413,6,0,0
2025-03-10 23:48:00,1.08413,1.0842,1.08413,1.08417,12,0,0
2025-03-10 23:49:00,1.08417,1.08417,1.08416,1.08417,3,0,0
2025-03-10 23:50:00,1.08417,1.08417,1.08396,1.08413,31,0,0
2025-03-10 23:51:00,1.08414,1.08424,1.08411,1.0842,23,0,0
2025-03-10 23:52:00,1.08421,1.08422,1.08414,1.08414,11,0,0
2025-03-10 23:53:00,1.08414,1.08417,1.08412,1.08416,19,0,0
2025-03-10 23:54:00,1.08416,1.0842,1.08413,1.0842,20,0,0
2025-03-10 23:55:00,1.0842,1.08421,1.08403,1.08404,22,0,0
2025-03-10 23:56:00,1.08404,1.08406,1.08395,1.08396,25,0,0
2025-03-10 23:57:00,1.08397,1.08399,1.08382,1.08385,29,0,0
